Trust Code,Trust Name,Ward Code,Ward Name,Service Type,Submission Date,Response Date,Overall Experience,Would Recommend,Comments,Age,Gender,Ethnicity
RYJ,Imperial College Healthcare NHS Trust,W01,Charing Cross Ward 3 West,Inpatient,2026-06-01,2026-05-28,Very Good,Yes,The nurses were amazing and very attentive to my needs,45-54,Female,White British
RYJ,Imperial College Healthcare NHS Trust,W01,Charing Cross Ward 3 West,Inpatient,2026-06-01,2026-05-29,Good,Yes,Overall good care but food could be improved,65-74,Male,White British
RYJ,Imperial College Healthcare NHS Trust,W02,St Mary's Ward A4,Inpatient,2026-06-01,2026-05-29,Very Good,Yes,Excellent staff - very professional,35-44,Female,Asian British
RQM,Chelsea and Westminster Hospital NHS FT,W10,Chelsea Wing Level 5,Inpatient,2026-06-01,2026-05-30,Neither Good nor Poor,Maybe,Long waiting times but staff were friendly,55-64,Male,Black British
RQM,Chelsea and Westminster Hospital NHS FT,W10,Chelsea Wing Level 5,Inpatient,2026-06-01,2026-05-30,Poor,No,Waited 4 hours in A&E - understaffed,25-34,Female,Mixed
RYJ,Imperial College Healthcare NHS Trust,W03,Hammersmith ICU,Critical Care,2026-06-02,2026-06-01,Very Good,Yes,Life-saving care - cannot thank them enough,75-84,Male,White British
RQM,Chelsea and Westminster Hospital NHS FT,W11,Westminster Maternity,Maternity,2026-06-02,2026-06-01,Very Good,Yes,Brilliant midwives made me feel safe and supported,25-34,Female,White British
RYJ,Imperial College Healthcare NHS Trust,W01,Charing Cross Ward 3 West,Inpatient,2026-06-03,2026-06-02,Good,Yes,Clean facilities and caring staff,45-54,Female,Other
RQM,Chelsea and Westminster Hospital NHS FT,W12,Westminster A&E,Emergency,2026-06-03,2026-06-03,Poor,No,Chaotic environment and rude receptionist,18-24,Male,White British
RYJ,Imperial College Healthcare NHS Trust,W04,St Mary's Paediatrics,Paediatric,2026-06-03,2026-06-02,Very Good,Yes,Amazing with my daughter - made her feel at ease,35-44,Female,Asian British
